RANK,PLAYER NAME,TEAM,MATCHES,GOALS
1,HARRY KANE,ENGLAND,6,6
2,ROMELU LUKAKU,BELGIUM,6,4
3,ANTOINE GRIEZMANN,FRANCE,7,4
4,CRISTIANO RONALDO,PORTUGAL,4,4
5,DENIS CHERYSHEV,RUSSIA,5,4
6,KYLIAN MBAPPE LOTTIN,FRANCE,7,4
7,EDEN HAZARD,BELGIUM,6,3
8,EDINSON CAVANI,URUGUAY,4,3
9,MARIO MANDZUKIC,CROATIA,6,3
10,IVAN PERISIC,CROATIA,7,3
11,ARTEM DZYUBA,RUSSIA,5,3
12,DIEGO DA SILVA COSTA,SPAIN,4,3
13,YERRY MINA GONZALEZ,COLOMBIA,3,3
14,MOHAMED SALAH GHALY,EGYPT,2,2
15,JOHN STONES,ENGLAND,7,2
16,PHILIPPE COUTINHO CORREIA,BRAZIL,5,2
17,LUIS SUAREZ,URUGUAY,5,2
18,SERGIO AGUERO DEL CASTILLO,ARGENTINA,4,2
19,MILE JEDINAK,AUSTRALIA,3,2
20,NEYMAR DA SILVA SANTOS JUNIOR,BRAZIL,5,2
21,HEUNG-MIN SON,KOREA REPUBLIC,3,2
22,LUKA MODRIC,CROATIA,7,2
23,PAUL POGBA,FRANCE,6,2
24,TAKASHI INUI,JAPAN,4,2
25,WAHBI KHAZRI,TUNISIA,3,2
26,ANDREAS GRANQVIST,SWEDEN,5,2
27,VICTOR MOSES,NIGERIA,3,1
28,IAGO ASPAS JUNCAL,SPAIN,3,1
29,LIONEL MESSI,ARGENTINA,6,1
